branch,last_commit,subject,merged_to_main,in_pilot,classification,safe_to_delete,safe_to_archive
claude/territory-intel-ui,2026-06-08,feat(ui): Phase 7D — Territory & Route Intelligence UI (he,N,N,Experimental,N,Y
claude/trade-spend-foundation-architecture,2026-06-07,docs(trade-spend): mark Trade Spend Foundation architecture ,N,N,Experimental,N,Y
claude/uiux-master-screen-plan,2026-06-07,docs(ux): VANTORA UI/UX Master Screen Plan (planning only),N,N,Documentation,N,Y
claude/ux-excellence-review,2026-06-04,docs: UX Excellence & product-design review (findings; mocks,N,N,Documentation,N,Y
claude/ux-form-grouping,2026-06-02,feat: UX-2 — shared FormSection + grouped customer form,Y,Y,Legacy-merged,Y,Y
claude/ux-hardening-pilot,2026-06-03,Merge #92: Enterprise Operations (Phase 5),Y,Y,Legacy-merged,Y,Y
claude/ux-harvest-sprint,2026-06-04,merge: reconcile main into UX stack — keep Next.js deletio,Y,Y,Legacy-merged,Y,Y
claude/ux-import-manual-first,2026-06-02,feat: UX-4 — import manual-first (no auto-guess by default,Y,Y,Legacy-merged,Y,Y
claude/ux-mobile,2026-06-02,feat: UX-3 — mobile bottom tab bar + responsive customer c,Y,Y,Legacy-merged,Y,Y
claude/ux-page-templates,2026-06-02,feat: UX-5 — empty-state CTAs + page-template conventions ,Y,Y,Legacy-merged,Y,Y
claude/ux-review-design,2026-06-02,feat: UX-1 — Settings navigation grouped into labeled subs,Y,Y,Legacy-merged,Y,Y
claude/ux-sprint,2026-06-04,feat(ux): Attention Center (exceptions-first) + route-health,Y,Y,Legacy-merged,Y,Y
claude/ux-u1-sprint,2026-06-04,feat(ux-u1): role-aware homes + Approval/Reports Centers + s,Y,Y,Legacy-merged,Y,Y
claude/van-accounting,2026-06-08,feat(van-accounting): Phase 7A — route accounting & van op,N,N,Experimental,N,Y
claude/van-ops-sprint,2026-06-04,feat(van-ops): stock visibility + collection receipt + retur,Y,Y,Legacy-merged,Y,Y
claude/van-sales-design-brief,2026-06-08,docs(van-sales): explicit FMCG requirements coverage + deact,N,N,Documentation,N,Y
claude/van-sales-e2e,2026-06-09,test(van-sales): UI 6 — end-to-end demo walkthrough (reque,N,N,Experimental,N,Y
claude/van-sales-e2e-demo,2026-06-09,test(van-sales): expand e2e demo to assert warehouse visibil,N,N,Experimental,N,Y
claude/van-sales-phase-a,2026-06-08,feat(van-sales): Phase A foundation — flag + salesman day ,N,N,Experimental,N,Y
claude/van-sales-phase-a2,2026-06-08,feat(van-sales): Phase A PR2 — salesman "My Day" shell + i,N,N,Experimental,N,Y
claude/van-sales-phase-b1,2026-06-09,feat(van-sales): Phase B PR1 — van load confirmation model,N,N,Experimental,N,Y
claude/van-sales-phase-b2,2026-06-09,refactor(van-sales): atomic confirm-load RPC + trust-boundar,N,N,Experimental,N,Y
claude/van-sales-phase-b3,2026-06-09,feat(van-sales): Phase B PR3 — configurable load-request a,N,N,Experimental,N,Y
claude/van-sales-phase-b4,2026-06-09,feat(van-sales): enrich supervisor-adjustment audit (request,N,N,Experimental,N,Y
claude/van-sales-phase-b5,2026-06-09,feat(van-sales): Phase B PR5 — supervisor-direct load post,N,N,Experimental,N,Y
claude/van-sales-phase-b6,2026-06-09,feat(van-sales): Phase B PR6 — offline load confirmation (,N,N,Experimental,N,Y
claude/van-sales-phase-b7,2026-06-09,feat(van-sales): Phase B PR7 — load reporting core (reques,N,N,Experimental,N,Y
claude/van-sales-phase-b8,2026-06-09,feat(van-sales): Phase B PR8 — per-tenant enablement + pol,N,N,Experimental,N,Y
claude/van-sales-photo-capture,2026-06-09,feat(van-sales): variance evidence photos via generalized of,N,N,Experimental,N,Y
claude/van-sales-pilot-guide,2026-06-09,docs(van-sales): pilot-tenant enablement guide,N,N,Documentation,N,Y
claude/van-sales-runbook-photos,2026-06-09,docs(van-sales): runbook — photo capture landed; all 8 gat,N,N,Experimental,N,Y
claude/van-sales-ui-admin,2026-06-09,feat(van-sales): UI 5 — admin enablement + policy page,N,N,Experimental,N,Y
claude/van-sales-ui-confirm,2026-06-09,feat(van-sales): UI 2 — salesman load confirmation screen ,N,N,Experimental,N,Y
claude/van-sales-ui-reports,2026-06-09,feat(van-sales): UI 4 — load reports page,N,N,Documentation,N,Y
claude/van-sales-ui-request,2026-06-09,feat(van-sales): UI 1 — salesman stock request screen,N,N,Experimental,N,Y
claude/van-sales-ui-warehouse,2026-06-09,feat(van-sales): UI 3 — warehouse pending-confirmations da,N,N,Experimental,N,Y
claude/vantora-implementation-master-plan,2026-06-07,docs: VANTORA Implementation Master Plan (planning only),N,N,Documentation,N,Y
claude/vantora-navigation-map,2026-06-07,docs(ux): VANTORA navigation map & screen hierarchy + role j,N,N,Documentation,N,Y
claude/vantora-printing-fix,2026-06-06,fix(offline-seed): bind owner as 'admin'; mark setup_done; p,N,N,Experimental,N,Y
claude/vantora-printing-issue-SrMcV,2026-06-08,audit: feature activation matrix + expose orphaned distribut,N,N,Experimental,N,Y
claude/vantora-salesman-mobile-a54qbt,2026-06-16,fix(staging): add Netlify SPA _redirects fallback,N,N,Experimental,N,Y
claude/workflow-platform-v1,2026-06-07,feat(workflow): Workflow Platform V1+V1.1 — clean main-bas,N,N,Experimental,N,Y
claude/workflow-release-note,2026-06-07,docs(release): Workflow Platform release note (post-merge; v,N,N,Documentation,N,Y
claude/workspace-engine-spec,2026-06-03,docs(workspace+align): close F2/F5; persona/provider-nav sec,N,N,Experimental,N,Y
claude/zatca-readiness-assessment,2026-06-08,docs(assessments): ZATCA e-invoicing readiness review & gap ,N,N,Documentation,N,Y
feat/auto-updater,2026-06-06,fix(offline): resolve the bundled node next to the executabl,N,N,Experimental,N,Y
fix/camera-live-only,2026-05-16,fix(camera): enforce live-capture only with EXIF freshness c,N,N,Experimental,N,Y
main,2026-06-09,docs(entitlements): E9 — pilot enablement guide (#309),Y,N,Active-trunk,N,N
release/pilot,2026-06-02,docs: operational readiness — executed integration build; ,N,N,Experimental,N,Y
staging-frontend,2026-06-11,deploy: governance member visibility fix into staging previe,N,N,Experimental,N,Y
staging-provision,2026-06-10,fix(staging): accept secret as raw password or full URL,N,Y,Experimental,N,Y
